qiymət,yer,otaq_sayı,sahə,mərtəbə,yeni_tikili,təmirli,kupçalı,ipoteka,ünvan_tipi,mərtəbə_faktiki,mərtəbə_bina,mərtəbə_faizi,1_otaq_sahəsi
284000,Azadlıq Prospekti m.,3,140.0,5/12,1,1,1,1,m.,5,12,0.4166666666666667,46.666666666666664
355000,Şah İsmayıl Xətai m.,3,135.0,19/20,1,1,1,1,m.,19,20,0.95,45.0
755000,Səbail r.,4,210.0,7/18,1,1,1,1,r.,7,18,0.3888888888888889,52.5
245000,Elmlər Akademiyası m.,3,86.0,8/10,1,1,1,1,m.,8,10,0.8,28.666666666666668
350000,Elmlər Akademiyası m.,4,174.0,12/15,1,1,1,1,m.,12,15,0.8,43.5
255000,Nizami m.,2,93.0,10/16,1,1,1,1,m.,10,16,0.625,46.5
410000,Ağ şəhər q.,3,133.0,4/6,1,1,1,1,q.,4,6,0.6666666666666666,44.333333333333336
235000,İnşaatçılar m.,3,130.0,9/18,1,1,1,1,m.,9,18,0.5,43.333333333333336
125000,Qara Qarayev m.,2,63.0,15/16,1,1,1,1,m.,15,16,0.9375,31.5
207000,Həzi Aslanov m.,3,123.0,10/17,1,1,1,1,m.,10,17,0.5882352941176471,41.0
355000,Yasamal r.,4,175.0,15/15,1,1,1,1,r.,15,15,1.0,43.75
180000,Əhmədli m.,3,103.0,4/17,1,1,1,1,m.,4,17,0.23529411764705882,34.333333333333336
210000,Koroğlu m.,3,80.5,10/13,1,1,1,1,m.,10,13,0.7692307692307693,26.833333333333332
222000,Memar Əcəmi m.,3,120.0,9/17,1,1,1,1,m.,9,17,0.5294117647058824,40.0
125000,Həzi Aslanov m.,2,60.0,17/19,1,1,1,1,m.,17,19,0.8947368421052632,30.0
360000,Gənclik m.,4,140.0,3/15,1,1,1,1,m.,3,15,0.2,35.0
270000,Nərimanov r.,4,193.0,14/18,1,1,1,1,r.,14,18,0.7777777777777778,48.25
139900,Həzi Aslanov m.,2,79.9,8/9,1,1,1,1,m.,8,9,0.8888888888888888,39.95
125000,Yeni Yasamal q.,3,70.0,9/12,1,1,1,1,q.,9,12,0.75,23.333333333333332
229000,8 Noyabr m.,3,130.0,9/17,1,1,1,1,m.,9,17,0.5294117647058824,43.333333333333336
229000,8 Noyabr m.,3,128.0,9/17,1,1,1,1,m.,9,17,0.5294117647058824,42.666666666666664
310000,Nərimanov r.,4,170.0,15/19,1,1,1,1,r.,15,19,0.7894736842105263,42.5
148000,Həzi Aslanov m.,2,65.0,7/13,1,1,1,1,m.,7,13,0.5384615384615384,32.5
175000,İnşaatçılar m.,3,85.0,4/17,1,1,1,1,m.,4,17,0.23529411764705882,28.333333333333332
210000,20 Yanvar m.,3,125.0,14/17,1,1,1,1,m.,14,17,0.8235294117647058,41.666666666666664
245000,Nəsimi m.,4,135.0,6/10,1,1,1,1,m.,6,10,0.6,33.75
430000,İnşaatçılar m.,4,215.0,3/18,1,1,1,1,m.,3,18,0.16666666666666666,53.75
110000,Yeni Yasamal q.,1,65.0,5/11,1,1,1,1,q.,5,11,0.45454545454545453,65.0
175000,7-ci mikrorayon q.,3,80.0,16/18,1,1,1,1,q.,16,18,0.8888888888888888,26.666666666666668
319000,Gənclik m.,3,120.0,14/18,1,1,1,1,m.,14,18,0.7777777777777778,40.0
385000,28 May m.,3,160.0,10/17,1,1,1,1,m.,10,17,0.5882352941176471,53.333333333333336
160500,Elmlər Akademiyası m.,2,68.0,12/13,1,1,1,1,m.,12,13,0.9230769230769231,34.0
850000,Şah İsmayıl Xətai m.,4,213.0,15/28,1,1,1,1,m.,15,28,0.5357142857142857,53.25
245000,Binəqədi r.,3,115.0,5/17,1,1,1,1,r.,5,17,0.29411764705882354,38.333333333333336
269000,Bayıl q.,3,120.0,12/16,1,1,1,1,q.,12,16,0.75,40.0
485000,Nizami m.,4,176.0,4/17,1,1,1,1,m.,4,17,0.23529411764705882,44.0
135000,İnşaatçılar m.,2,60.0,6/17,1,1,1,1,m.,6,17,0.35294117647058826,30.0
218000,7-ci mikrorayon q.,3,103.0,7/16,1,1,1,1,q.,7,16,0.4375,34.333333333333336
245000,Şah İsmayıl Xətai m.,3,92.0,16/17,1,1,1,1,m.,16,17,0.9411764705882353,30.666666666666668
105000,Avtovağzal m.,3,67.0,17/17,1,1,1,1,m.,17,17,1.0,22.333333333333332
250000,Bayıl q.,4,140.0,3/6,1,1,1,1,q.,3,6,0.5,35.0
334900,Şah İsmayıl Xətai m.,3,100.0,17/18,1,1,1,1,m.,17,18,0.9444444444444444,33.333333333333336
179000,Əhmədli m.,3,103.0,4/17,1,1,1,1,m.,4,17,0.23529411764705882,34.333333333333336
315000,28 May m.,2,110.0,5/17,1,1,1,1,m.,5,17,0.29411764705882354,55.0
460000,8 Noyabr m.,5,360.0,15/16,1,1,1,1,m.,15,16,0.9375,72.0
245000,Nəsimi m.,4,145.0,6/11,1,1,1,1,m.,6,11,0.5454545454545454,36.25
124000,İnşaatçılar m.,3,60.0,11/15,1,1,1,1,m.,11,15,0.7333333333333333,20.0
185000,Yeni Yasamal q.,3,115.0,11/20,1,1,1,1,q.,11,20,0.55,38.333333333333336
245000,Nəsimi m.,4,145.0,6/11,1,1,1,1,m.,6,11,0.5454545454545454,36.25
235000,8 Noyabr m.,3,113.0,16/17,1,1,1,1,m.,16,17,0.9411764705882353,37.666666666666664
210000,Azadlıq Prospekti m.,3,107.0,6/16,1,1,1,1,m.,6,16,0.375,35.666666666666664
270000,Nəriman Nərimanov m.,2,115.0,6/17,1,1,1,1,m.,6,17,0.35294117647058826,57.5
135000,Xətai r.,2,70.0,15/20,1,1,1,1,r.,15,20,0.75,35.0
220000,Elmlər Akademiyası m.,3,85.0,3/16,1,1,1,1,m.,3,16,0.1875,28.333333333333332
285000,Nəsimi r.,3,130.0,10/18,1,1,1,1,r.,10,18,0.5555555555555556,43.333333333333336
310000,8 Noyabr m.,3,140.0,12/18,1,1,1,1,m.,12,18,0.6666666666666666,46.666666666666664
